course_id,course_title,url,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp,subject,days_published
582390,Instant Harmonica - play When the Saints on harmonica now!,https://www.udemy.com/instant-harmonica-play-when-the-saints-on-harmonica-now/,TRUE,20,31,1,10,Beginner Level,1,14/8/2015,Musical Instruments,1722
132950,Strumming the Guitar - 5 Lessons on Strum Patterns,https://www.udemy.com/strumming-the-guitar-5-lessons-on-strum-patterns/,TRUE,20,56,3,10,Beginner Level,0.633333333,13/12/2013,Musical Instruments,2331
845518,Learn Piano Online-Keys to the Keyboard,https://www.udemy.com/learn-piano-online-keys-to-the-keyboard/,TRUE,50,18,1,9,Beginner Level,2,12/5/2016,Musical Instruments,1450
835616,Ukulele Lessons For Beginners - Fast Track Your Learning,https://www.udemy.com/ukulele-lessons/,TRUE,20,57,8,28,Beginner Level,1,9/6/2016,Musical Instruments,1422
101504,Blues Guitar Lessons - Ragtime Blues Guitar,https://www.udemy.com/guitar-lessons-learn-ragtime-blues-guitar/,TRUE,20,59,3,6,Expert Level,2,26/11/2013,Musical Instruments,2348
594852,Getting Started with Power Chords,https://www.udemy.com/getting-started-with-power-chords/,TRUE,20,6,0,27,Beginner Level,1,17/12/2015,Musical Instruments,1597
806642,Blues Master - Professional Techniques Piano Course,https://www.udemy.com/blues-master-professional-techniques-piano-course/,TRUE,75,4,0,16,All Levels,1,29/3/2016,Musical Instruments,1494
809492,Drumming 101: The Essential Elements,https://www.udemy.com/drums-101/,TRUE,50,4,0,17,Beginner Level,1.5,2/5/2017,Musical Instruments,1095
785210,Flute Lessons For Beginners,https://www.udemy.com/the-music-coach-online-flute-lesson-program/,TRUE,95,3,0,41,Beginner Level,2.5,9/3/2016,Musical Instruments,1514
339382,Guitar for Christmas!,https://www.udemy.com/guitar-for-christmas/,TRUE,20,7,0,17,Beginner Level,0.533333333,30/11/2014,Musical Instruments,1979
963664,Learn Piano Online-Nocturnal Piano Solo,https://www.udemy.com/learn-piano-online-nocturnal-piano-solo/,TRUE,60,2,0,11,Intermediate Level,1.5,21/9/2016,Musical Instruments,1318
632234,Guitar Chords and Basic Strumming,https://www.udemy.com/guitar-chords-and-basic-strumming/,TRUE,20,3,0,35,Beginner Level,2.5,17/12/2015,Musical Instruments,1597
594854,Getting Started on the Acoustic Guitar,https://www.udemy.com/getting-started-on-the-acoustic-guitar/,TRUE,20,3,0,28,Beginner Level,1,20/10/2015,Musical Instruments,1655
974704,Learn Piano Online-In the Garden Piano Solo,https://www.udemy.com/learn-piano-online-in-the-garden-piano-solo/,TRUE,60,1,0,11,Intermediate Level,1,3/10/2016,Musical Instruments,1306
545036,Saxophone Essentials: Beginners Course,https://www.udemy.com/saxophone-essentials-beginners-course/,TRUE,40,3,0,16,Beginner Level,1.5,26/4/2017,Musical Instruments,1101
388712,Learn To Play The Guitar In A Day,https://www.udemy.com/learn-to-play-the-guitar-in-a-day/,TRUE,20,3,1,14,Beginner Level,1,9/1/2015,Musical Instruments,1939
383852,88 Logic - The Essential Guide To Learning Piano,https://www.udemy.com/88-logic-the-ultimate-course-for-learning-piano/,TRUE,25,3,0,5,Beginner Level,0.533333333,13/1/2015,Musical Instruments,1935
459946,Tuba Solos: Learn how to Perform Three Fun and Unique Pieces,https://www.udemy.com/intermediate-tuba-solos/,TRUE,50,164,0,20,Intermediate Level,2,15/4/2015,Musical Instruments,1843
994050,Instant Harmonica - play Dylan's Like a Rolling Stone now!,https://www.udemy.com/instant-harmonica-play-dylans-like-a-rolling-stone-now/,TRUE,40,28,2,11,All Levels,1.5,27/10/2016,Musical Instruments,1282
899702,Advanced Oboe Studies - Become a Master Oboist!​,https://www.udemy.com/advanced-oboe/,TRUE,50,47,0,82,Expert Level,4,28/7/2016,Musical Instruments,1373
1111562,Instant Harmonica - play 'I just called to say I love you',https://www.udemy.com/instant-harmonica-play-i-just-called-to-say-i-love-you/,TRUE,40,15,0,11,All Levels,1,15/2/2017,Musical Instruments,1171
320238,Jazz piano improvisation: The girl form Ipanema. Bossa nova,https://www.udemy.com/girl_from_ipanema/,TRUE,30,151,1,5,All Levels,0.55,16/10/2014,Musical Instruments,2024
